x,y,date
264042.283407786,6620464.66204626,2021-05-05 21:38:52
264036.092300948,6620465.94669702,2021-05-05 21:40:52
264046.926689415,6620464.81517137,2021-05-05 21:43:22
264053.926760376,6620465.60094947,2021-05-05 21:45:22
264041.755499821,6620470.61341488,2021-05-05 21:47:23
264046.9338822,6620461.35324688,2021-05-05 21:49:24
264044.605249248,6620460.27218252,2021-05-05 21:51:27
264039.518459935,6620466.51173495,2021-05-05 21:53:33
264038.575874146,6620463.22151,2021-05-05 21:55:39
264034.368637505,6620466.39064054,2021-05-05 21:57:43
264033.862396087,6620459.27638068,2021-05-05 21:59:47
264042.705506345,6620465.08200518,2021-05-05 22:01:51
264040.454286908,6620463.43774823,2021-05-05 22:03:56
264038.097492434,6620462.80510942,2021-05-05 22:05:59
264044.253253483,6620465.43080812,2021-05-05 22:08:06
264044.028163631,6620464.55175418,2021-05-05 22:10:10
264044.028163631,6620464.55175418,2021-05-05 22:12:14
264044.028163631,6620464.55175418,2021-05-05 22:14:20
264044.028163631,6620464.55175418,2021-05-05 22:16:25
264038.259232245,6620464.46979016,2021-05-05 22:18:31
264041.811782178,6620470.60985705,2021-05-05 22:20:37
264039.23704784,6620466.52952429,2021-05-05 22:22:44
264040.496235545,6620469.46475453,2021-05-05 22:24:51
264032.131550235,6620463.18224998,2021-05-05 22:26:55
264011.815300522,6620418.01589984,2021-05-05 22:28:58
263994.565776503,6620382.0352062,2021-05-05 22:31:01
263990.725842251,6620340.96362868,2021-05-05 22:33:03
263959.144269453,6620308.01076338,2021-05-05 22:35:04
263953.544899254,6620273.08011186,2021-05-05 22:37:05
263934.675551858,6620260.65074151,2021-05-05 22:39:05
263916.889696821,6620242.12326192,2021-05-05 22:41:11
263891.138932884,6620243.30524377,2021-05-05 22:43:14
263830.941159788,6620210.93509271,2021-05-05 22:45:15
263825.783902566,6620204.45005917,2021-05-05 22:47:18
263825.579841911,6620196.75837457,2021-05-05 22:49:18
263766.893490858,6620166.86172446,2021-05-05 22:51:21
263771.030424871,6620156.32713456,2021-05-05 22:53:21
263770.214267773,6620156.82542416,2021-05-05 22:55:27
263775.244991444,6620160.41521749,2021-05-05 22:57:27
263799.89173919,6620161.42389543,2021-05-05 22:59:27
263743.203199392,6620147.03368831,2021-05-06 05:08:27
263764.606852233,6620168.2346954,2021-05-06 05:10:28
263787.874648744,6620179.60335332,2021-05-06 05:12:28
263789.704679018,6620235.31800033,2021-05-06 05:14:57
263790.528195519,6620259.04966214,2021-05-06 05:16:58
263793.110589418,6620279.32020228,2021-05-06 05:18:58
263822.78694623,6620264.2665374,2021-05-06 05:20:58
263811.071966752,6620195.21971428,2021-05-06 05:22:58
263808.201209257,6620174.85575376,2021-05-06 05:24:58
263798.034335875,6620169.58099816,2021-05-06 05:26:59
263799.969211129,6620170.68684385,2021-05-06 05:29:09
263793.102211662,6620172.01462502,2021-05-06 05:31:09
263785.630068326,6620168.24430943,2021-05-06 05:33:09
263789.436554021,6620174.81476682,2021-05-06 05:35:09
263792.187490135,6620166.48945967,2021-05-06 05:37:09
263793.777565375,6620163.03902399,2021-05-06 05:39:09
263784.202120895,6620193.90500787,2021-05-06 05:47:57
263787.002564877,6620207.79707835,2021-05-06 05:50:01
263769.525144563,6620180.76446921,2021-05-06 05:52:15
263774.527803792,6620191.05569008,2021-05-06 05:54:20
263778.02419776,6620162.3609123,2021-05-06 05:57:41
263799.026375438,6620167.39667348,2021-05-06 06:02:42
263799.026375438,6620167.39667348,2021-05-06 06:04:49
263799.026375438,6620167.39667348,2021-05-06 06:06:55
263799.026375438,6620167.39667348,2021-05-06 06:08:58
263799.026375438,6620167.39667348,2021-05-06 06:11:03
263799.026375438,6620167.39667348,2021-05-06 06:13:08
263803.888174992,6620168.31732983,2021-05-06 06:15:11
263771.389588545,6620177.18499862,2021-05-06 06:17:22
263771.389588545,6620177.18499862,2021-05-06 06:19:27
263771.389588545,6620177.18499862,2021-05-06 06:21:31
263771.389588545,6620177.18499862,2021-05-06 06:23:35
263771.389588545,6620177.18499862,2021-05-06 06:25:38
263771.389588545,6620177.18499862,2021-05-06 06:27:43
263771.389588545,6620177.18499862,2021-05-06 06:29:46
263771.389588545,6620177.18499862,2021-05-06 06:31:48
263771.389588545,6620177.18499862,2021-05-06 06:34:03
263771.389588545,6620177.18499862,2021-05-06 06:36:06
263771.389588545,6620177.18499862,2021-05-06 06:38:11
263771.389588545,6620177.18499862,2021-05-06 06:40:22
263771.389588545,6620177.18499862,2021-05-06 06:42:26
263771.389588545,6620177.18499862,2021-05-06 06:44:36
263771.389588545,6620177.18499862,2021-05-06 06:46:44
263771.389588545,6620177.18499862,2021-05-06 06:48:48
263771.389588545,6620177.18499862,2021-05-06 06:50:49
263771.389588545,6620177.18499862,2021-05-06 06:52:54
263762.953415294,6620168.00434456,2021-05-06 06:54:58
263778.96719121,6620175.47722824,2021-05-06 06:57:02
263778.96719121,6620175.47722824,2021-05-06 06:59:05
